Date,AMBEV,ODONTOPREV,VIVO,PETROBRÁS,BANCO DO BRASIL,BOVA
2022-04-18,14.710000038146973,10.40999984741211,53.45000076293945,34.119998931884766,36.5,111.45999908447266
2022-04-19,14.649999618530273,10.470000267028809,52.900001525878906,34.709999084472656,35.209999084472656,110.91999816894531
2022-04-20,14.729999542236328,10.4399995803833,52.779998779296875,35.119998931884766,35.15999984741211,110.05000305175781
2022-04-22,14.75,10.25,52.72999954223633,33.369998931884766,34.43000030517578,106.75
2022-04-25,15.119999885559082,10.319999694824219,53.650001525878906,33.13999938964844,34.70000076293945,106.76000213623047
2022-04-26,14.75,10.170000076293945,53.650001525878906,33.09000015258789,33.91999816894531,104.27999877929688
2022-04-27,14.680000305175781,10.390000343322754,51.81999969482422,33.189998626708984,34.06999969482422,105.5199966430664
2022-04-28,14.710000038146973,10.140000343322754,52.38999938964844,33.43000030517578,34.0099983215332,105.86000061035156
2022-04-29,14.520000457763672,10.149999618530273,53.189998626708984,33.439998626708984,33.220001220703125,103.4000015258789
2022-05-02,14.470000267028809,9.989999771118164,52.130001068115234,32.84000015258789,32.97999954223633,102.72000122070312
2022-05-03,14.239999771118164,10.069999694824219,51.77000045776367,33.060001373291016,33.65999984741211,102.72000122070312
2022-05-04,14.34000015258789,10.289999961853027,52.5,34.619998931884766,34.63999938964844,104.37999725341797
2022-05-05,13.729999542236328,10.579999923706055,50.810001373291016,34.38999938964844,33.7400016784668,101.5
2022-05-06,13.529999732971191,10.220000267028809,50.619998931884766,35.689998626708984,33.849998474121094,101.2300033569336
2022-05-09,13.6899995803833,10.109999656677246,50.90999984741211,34.2599983215332,33.939998626708984,99.68000030517578
2022-05-10,13.729999542236328,10.180000305175781,50.79999923706055,34.689998626708984,33.54999923706055,99.23999786376953
2022-05-11,13.949999809265137,9.850000381469727,49.02000045776367,36.439998626708984,34.290000915527344,100.63999938964844
2022-05-12,14.479999542236328,9.84000015258789,49.939998626708984,36.58000183105469,35.15999984741211,102.04000091552734
2022-05-13,14.539999961853027,9.989999771118164,49.2599983215332,36.630001068115234,35.11000061035156,103.29000091552734
2022-05-16,14.6899995803833,9.899999618530273,49.459999084472656,37.65999984741211,35.11000061035156,104.4000015258789
2022-05-17,14.729999542236328,10.029999732971191,49.880001068115234,37.689998626708984,36.43000030517578,104.9000015258789
2022-05-18,14.220000267028809,9.90999984741211,49.56999969482422,36.84000015258789,35.90999984741211,102.20999908447266
2022-05-19,14.140000343322754,9.869999885559082,49.9900016784668,37.150001525878906,35.70000076293945,103.08000183105469
2022-05-20,14.020000457763672,9.960000038146973,50.060001373291016,37.66999816894531,37.0,104.66000366210938
2022-05-23,14.079999923706055,9.899999618530273,51.58000183105469,39.060001373291016,38.560001373291016,106.76000213623047
2022-05-24,14.130000114440918,9.729999542236328,51.91999816894531,34.400001525878906,37.79999923706055,106.63999938964844
2022-05-25,14.039999961853027,9.829999923706055,52.349998474121094,35.099998474121094,37.56999969482422,106.66000366210938
2022-05-26,14.210000038146973,10.15999984741211,51.97999954223633,35.209999084472656,37.459999084472656,108.0199966430664
2022-05-27,14.210000038146973,10.149999618530273,51.540000915527344,33.7400016784668,37.04999923706055,107.9000015258789
2022-05-30,14.09000015258789,10.109999656677246,51.529998779296875,33.0099983215332,36.06999969482422,106.91999816894531
2022-05-31,14.1899995803833,10.100000381469727,51.04999923706055,33.2599983215332,36.619998931884766,107.18000030517578
2022-06-01,14.119999885559082,10.220000267028809,50.470001220703125,33.22999954223633,36.689998626708984,107.47000122070312
2022-06-02,14.119999885559082,10.420000076293945,51.08000183105469,32.91999816894531,36.720001220703125,108.43000030517578
2022-06-03,14.079999923706055,10.199999809265137,50.369998931884766,33.7599983215332,36.209999084472656,107.4800033569336
2022-06-06,14.050000190734863,9.800000190734863,48.880001068115234,33.7400016784668,35.7599983215332,106.41999816894531
2022-06-07,13.729999542236328,9.550000190734863,48.0099983215332,33.86000061035156,35.5099983215332,106.1500015258789
2022-06-08,13.760000228881836,9.619999885559082,47.400001525878906,33.72999954223633,35.189998626708984,104.5999984741211
2022-06-09,13.609999656677246,9.649999618530273,46.869998931884766,33.33000183105469,35.13999938964844,103.68000030517578
2022-06-10,13.59000015258789,9.649999618530273,46.79999923706055,32.90999984741211,34.54999923706055,101.81999969482422
2022-06-13,13.329999923706055,9.449999809265137,46.2400016784668,32.40999984741211,33.7599983215332,99.12000274658203
2022-06-14,13.149999618530273,9.319999694824219,46.349998474121094,32.70000076293945,33.52000045776367,98.36000061035156
2022-06-15,13.0600004196167,9.5,46.66999816894531,32.27000045776367,34.04999923706055,99.37999725341797
2022-06-17,13.029999732971191,9.739999771118164,45.459999084472656,29.93000030517578,34.130001068115234,96.20999908447266
2022-06-20,13.050000190734863,9.5,45.630001068115234,30.190000534057617,34.38999938964844,96.29000091552734
2022-06-21,13.170000076293945,9.369999885559082,47.04999923706055,29.8700008392334,32.97999954223633,96.4000015258789
2022-06-22,13.300000190734863,9.279999732971191,46.959999084472656,29.729999542236328,32.86000061035156,96.02999877929688
2022-06-23,13.329999923706055,9.229999542236328,46.88999938964844,29.100000381469727,32.650001525878906,94.66000366210938
2022-06-24,13.670000076293945,9.229999542236328,46.54999923706055,28.90999984741211,32.459999084472656,95.47000122070312
2022-06-27,13.720000267028809,9.069999694824219,46.70000076293945,30.860000610351562,33.130001068115234,97.3499984741211
2022-06-28,13.520000457763672,9.140000343322754,46.47999954223633,31.309999465942383,33.25,97.05000305175781
2022-06-29,13.609999656677246,9.210000038146973,45.65999984741211,30.8799991607666,33.08000183105469,96.0
2022-06-30,13.399999618530273,9.350000381469727,47.060001373291016,30.540000915527344,33.380001068115234,95.0
2022-07-01,13.760000228881836,9.4399995803833,47.54999923706055,31.110000610351562,33.150001525878906,95.62999725341797
2022-07-04,13.680000305175781,9.350000381469727,46.5099983215332,31.850000381469727,33.040000915527344,95.19999694824219
2022-07-05,14.09000015258789,9.430000305175781,46.369998931884766,30.489999771118164,32.86000061035156,94.80000305175781
2022-07-06,14.229999542236328,9.550000190734863,47.16999816894531,30.030000686645508,32.650001525878906,95.41999816894531
2022-07-07,14.229999542236328,9.710000038146973,47.34000015258789,30.920000076293945,33.130001068115234,97.37999725341797
2022-07-08,14.3100004196167,9.640000343322754,47.4900016784668,31.200000762939453,33.45000076293945,96.87999725341797
2022-07-11,14.100000381469727,9.6899995803833,47.869998931884766,31.18000030517578,32.900001525878906,94.80000305175781
2022-07-12,13.789999961853027,9.609999656677246,47.63999938964844,30.56999969482422,33.0099983215332,94.9000015258789
2022-07-13,14.569999694824219,9.40999984741211,47.20000076293945,30.700000762939453,32.650001525878906,94.51000213623047
2022-07-14,14.84000015258789,9.470000267028809,47.27000045776367,29.719999313354492,32.61000061035156,92.55000305175781
2022-07-15,14.59000015258789,9.420000076293945,47.18000030517578,30.309999465942383,33.279998779296875,93.2699966430664
2022-07-18,14.489999771118164,9.5600004196167,46.90999984741211,31.31999969482422,33.75,93.37000274658203
